date,demand,price,promo,sentiment,lag_1,lag_7,lag_30,news
2013-01-31,351,46.166566288008084,1,0.9899916425142754,131.0,208.0,235.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-01,228,58.505908690651836,0,0.2675832003270724,351.0,247.0,197.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-02,529,55.26147556124539,1,0.7107233670962865,228.0,138.0,261.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-03,361,46.07131269090362,1,-0.4027599166906026,529.0,381.0,306.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-04,448,43.71347768728498,1,-0.5318455608405834,361.0,280.0,355.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-05,370,57.046737376565694,1,0.9488535450669451,448.0,432.0,412.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-06,288,54.03888110476472,1,-0.2701395302677496,370.0,131.0,242.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-07,286,50.30232408560638,1,-0.3059557999472149,288.0,351.0,269.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-08,758,51.50839676853589,0,-0.37112210499788767,286.0,228.0,231.0,strong increase in retail demand due to festive season and market growth
2013-02-09,458,38.261606954048375,0,-0.4243768538446886,758.0,529.0,304.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-10,336,44.397306563531345,0,0.16986259664175085,458.0,361.0,267.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-11,441,51.4953837331686,1,0.6531303297433495,336.0,448.0,499.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-12,348,48.736834106914,0,0.6052680141180351,441.0,370.0,634.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-13,445,48.54979358059621,1,0.03999835585416256,348.0,288.0,323.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-14,245,53.33885029921924,0,0.6937585671330284,445.0,286.0,418.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-15,268,62.912089866715036,0,-0.30282101632016634,245.0,758.0,235.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-16,385,49.74542542067505,0,-0.4197708227585022,268.0,458.0,265.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-17,382,43.960002958389225,0,0.5112454423265818,385.0,336.0,411.0,decline in retail demand due to economic slowdown and weak consumer activity
2013-02-18,244,48.06554103316614,1,0.291042958560195,382.0,441.0,415.0,decline in retail demand due to economic slowdown and weak consumer activity
